LineId,Content,EventId,EventTemplate,ParameterList
1,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
2,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>,['6']
3,jk2_init() Found child 6725 in scoreboard slot 10,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6725', '10']"
4,jk2_init() Found child 6726 in scoreboard slot 8,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6726', '8']"
5,jk2_init() Found child 6728 in scoreboard slot 6,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6728', '6']"
6,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
7,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
8,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
9,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>,['6']
10,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>,['6']
11,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>,['6']
12,jk2_init() Found child 6736 in scoreboard slot 10,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6736', '10']"
13,jk2_init() Found child 6733 in scoreboard slot 7,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6733', '7']"
14,jk2_init() Found child 6734 in scoreboard slot 9,b00729be,jk2_init() Found child <*> in scoreboard slot <*>,"['6734', '9']"
15,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
16,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
17,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>,['6']
