LineId,Content,EventId,EventTemplate,ParameterList
1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\\042', '=1973']"
2,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=3180']"
3,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=5089']"
4,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=4088']"
5,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=2538']"
6,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=2480']"
7,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=3713']"
8,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=3891']"
9,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=2478']"
10,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=2969']"
11,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=4159']"
12,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),bca6441c,Component State Change: Component <*> is in the unavailable state (HWID<*>),"['\\042alt0\\042', '=2608']"
13,clusterAddMember  (command 1902),b6d38bd5,clusterAddMember (command <*>,['1902)']
14,clusterAddMember  (command 1900),b6d38bd5,clusterAddMember (command <*>,['1900)']
15,risBoot  (command 1903),e5e34e3d,risBoot (command 1903),[]
16,bootGenvmunix  (command 1903),76727c51,bootGenvmunix (command <*>,['1903)']
17,boot  (command 1911),8d336518,boot (command <*>,['1911)']
18,boot  (command 1910),8d336518,boot (command <*>,['1910)']
19,boot  (command 1978),8d336518,boot (command <*>,['1978)']
20,boot  (command 1967),8d336518,boot (command <*>,['1967)']
21,wait  (command 1975),28889bc4,wait (command <*>,['1975)']
22,boot  (command 1999),8d336518,boot (command <*>,['1999)']
23,halt  (command 1982),ffd891af,halt (command <*>,['1982)']
24,boot  (command 1981),8d336518,boot (command <*>,['1981)']
25,boot  (command 1973),8d336518,boot (command <*>,['1973)']
26,wait  (command 1973),28889bc4,wait (command <*>,['1973)']
27,wait  (command 2057),28889bc4,wait (command <*>,['2057)']
28,boot  (command 2152),8d336518,boot (command <*>,['2152)']
29,wait  (command 2154),28889bc4,wait (command <*>,['2154)']
30,boot  (command 2141),8d336518,boot (command <*>,['2141)']
31,boot  (command 2110),8d336518,boot (command <*>,['2110)']
32,boot  (command 2160),8d336518,boot (command <*>,['2160)']
33,halt  (command 2221),ffd891af,halt (command <*>,['2221)']
34,wait  (command 2217),28889bc4,wait (command <*>,['2217)']
35,wait  (command 2217),28889bc4,wait (command <*>,['2217)']
36,wait  (command 2201),28889bc4,wait (command <*>,['2201)']
37,wait  (command 2199),28889bc4,wait (command <*>,['2199)']
38,boot  (command 2183),8d336518,boot (command <*>,['2183)']
39,wait  (command 2189),28889bc4,wait (command <*>,['2189)']
40,wait  (command 2302),28889bc4,wait (command <*>,['2302)']
41,wait  (command 2270),28889bc4,wait (command <*>,['2270)']
42,wait  (command 2257),28889bc4,wait (command <*>,['2257)']
43,boot  (command 2257),8d336518,boot (command <*>,['2257)']
44,boot  (command 2316),8d336518,boot (command <*>,['2316)']
45,boot  (command 2316),8d336518,boot (command <*>,['2316)']
46,wait  (command 2322),28889bc4,wait (command <*>,['2322)']
47,wait  (command 2354),28889bc4,wait (command <*>,['2354)']
48,wait  (command 2347),28889bc4,wait (command <*>,['2347)']
49,boot  (command 2368),8d336518,boot (command <*>,['2368)']
50,boot  (command 2392),8d336518,boot (command <*>,['2392)']
51,boot  (command 2406),8d336518,boot (command <*>,['2406)']
52,boot  (command 2417),8d336518,boot (command <*>,['2417)']
53,boot  (command 2423),8d336518,boot (command <*>,['2423)']
54,wait  (command 2424),28889bc4,wait (command <*>,['2424)']
55,wait  (command 2449),28889bc4,wait (command <*>,['2449)']
56,boot  (command 2464),8d336518,boot (command <*>,['2464)']
57,wait  (command 2468),28889bc4,wait (command <*>,['2468)']
58,boot  (command 2520),8d336518,boot (command <*>,['2520)']
59,wait  (command 2517),28889bc4,wait (command <*>,['2517)']
60,boot  (command 2517),8d336518,boot (command <*>,['2517)']
61,wait  (command 2511),28889bc4,wait (command <*>,['2511)']
62,wait  (command 2513),28889bc4,wait (command <*>,['2513)']
63,boot  (command 2514),8d336518,boot (command <*>,['2514)']
64,wait  (command 2484),28889bc4,wait (command <*>,['2484)']
65,boot  (command 2625),8d336518,boot (command <*>,['2625)']
66,wait  (command 2607),28889bc4,wait (command <*>,['2607)']
67,boot  (command 2616),8d336518,boot (command <*>,['2616)']
68,boot  (command 2619),8d336518,boot (command <*>,['2619)']
69,boot  (command 2616),8d336518,boot (command <*>,['2616)']
70,boot  (command 2616),8d336518,boot (command <*>,['2616)']
71,boot  (command 2602),8d336518,boot (command <*>,['2602)']
72,wait  (command 2582),28889bc4,wait (command <*>,['2582)']
73,boot  (command 2584),8d336518,boot (command <*>,['2584)']
74,wait  (command 2549),28889bc4,wait (command <*>,['2549)']
75,boot  (command 2550),8d336518,boot (command <*>,['2550)']
76,boot  (command 2548),8d336518,boot (command <*>,['2548)']
77,boot  (command 2538),8d336518,boot (command <*>,['2538)']
78,wait  (command 2683),28889bc4,wait (command <*>,['2683)']
79,boot  (command 2686),8d336518,boot (command <*>,['2686)']
80,wait  (command 2682),28889bc4,wait (command <*>,['2682)']
81,wait  (command 2763),28889bc4,wait (command <*>,['2763)']
82,wait  (command 2800),28889bc4,wait (command <*>,['2800)']
83,boot  (command 2790),8d336518,boot (command <*>,['2790)']
84,wait  (command 2817),28889bc4,wait (command <*>,['2817)']
85,wait  (command 2823),28889bc4,wait (command <*>,['2823)']
86,wait  (command 2817),28889bc4,wait (command <*>,['2817)']
87,wait  (command 2900),28889bc4,wait (command <*>,['2900)']
88,wait  (command 2885),28889bc4,wait (command <*>,['2885)']
89,wait  (command 2909),28889bc4,wait (command <*>,['2909)']
90,boot  (command 2960),8d336518,boot (command <*>,['2960)']
91,wait  (command 2963),28889bc4,wait (command <*>,['2963)']
92,boot  (command 2999),8d336518,boot (command <*>,['2999)']
93,halt  (command 2992),ffd891af,halt (command <*>,['2992)']
94,wait  (command 3087),28889bc4,wait (command <*>,['3087)']
95,wait  (command 3079),28889bc4,wait (command <*>,['3079)']
96,wait  (command 3078),28889bc4,wait (command <*>,['3078)']
97,wait  (command 3141),28889bc4,wait (command <*>,['3141)']
98,boot  (command 3138),8d336518,boot (command <*>,['3138)']
99,boot  (command 3169),8d336518,boot (command <*>,['3169)']
100,boot  (command 3169),8d336518,boot (command <*>,['3169)']
101,boot  (command 3194),8d336518,boot (command <*>,['3194)']
102,boot  (command 3320),8d336518,boot (command <*>,['3320)']
103,boot  (command 3318),8d336518,boot (command <*>,['3318)']
104,boot  (command 3317),8d336518,boot (command <*>,['3317)']
105,wait  (command 3319),28889bc4,wait (command <*>,['3319)']
106,wait  (command 3334),28889bc4,wait (command <*>,['3334)']
107,boot  (command 3334),8d336518,boot (command <*>,['3334)']
108,wait  (command 3412),28889bc4,wait (command <*>,['3412)']
109,boot  (command 3413),8d336518,boot (command <*>,['3413)']
110,boot  (command 3473),8d336518,boot (command <*>,['3473)']
111,wait  (command 3523),28889bc4,wait (command <*>,['3523)']
112,wait  (command 3525),28889bc4,wait (command <*>,['3525)']
113,wait  (command 3519),28889bc4,wait (command <*>,['3519)']
114,boot  (command 3519),8d336518,boot (command <*>,['3519)']
115,boot  (command 3512),8d336518,boot (command <*>,['3512)']
116,boot  (command 3579),8d336518,boot (command <*>,['3579)']
117,boot  (command 3572),8d336518,boot (command <*>,['3572)']
118,boot  (command 3580),8d336518,boot (command <*>,['3580)']
119,wait  (command 3612),28889bc4,wait (command <*>,['3612)']
120,boot  (command 3615),8d336518,boot (command <*>,['3615)']
121,wait  (command 3609),28889bc4,wait (command <*>,['3609)']
122,boot  (command 3624),8d336518,boot (command <*>,['3624)']
123,wait  (command 3649),28889bc4,wait (command <*>,['3649)']
124,boot  (command 3639),8d336518,boot (command <*>,['3639)']
125,wait  (command 3690),28889bc4,wait (command <*>,['3690)']
126,boot  (command 3696),8d336518,boot (command <*>,['3696)']
127,wait  (command 3698),28889bc4,wait (command <*>,['3698)']
128,wait  (command 3709),28889bc4,wait (command <*>,['3709)']
129,wait  (command 3837),28889bc4,wait (command <*>,['3837)']
130,wait  (command 3847),28889bc4,wait (command <*>,['3847)']
131,boot  (command 3951),8d336518,boot (command <*>,['3951)']
132,boot  (command 3928),8d336518,boot (command <*>,['3928)']
133,boot  (command 3939),8d336518,boot (command <*>,['3939)']
134,boot  (command 3964),8d336518,boot (command <*>,['3964)']
135,wait  (command 3973),28889bc4,wait (command <*>,['3973)']
136,wait  (command 3981),28889bc4,wait (command <*>,['3981)']
137,wait  (command 3981),28889bc4,wait (command <*>,['3981)']
138,boot  (command 4024),8d336518,boot (command <*>,['4024)']
139,wait  (command 4061),28889bc4,wait (command <*>,['4061)']
140,wait  (command 4110),28889bc4,wait (command <*>,['4110)']
141,boot  (command 4118),8d336518,boot (command <*>,['4118)']
142,wait  (command 4116),28889bc4,wait (command <*>,['4116)']
143,wait  (command 4117),28889bc4,wait (command <*>,['4117)']
144,boot  (command 4109),8d336518,boot (command <*>,['4109)']
145,wait  (command 4145),28889bc4,wait (command <*>,['4145)']
146,boot  (command 4176),8d336518,boot (command <*>,['4176)']
147,boot  (command 4170),8d336518,boot (command <*>,['4170)']
148,wait  (command 4176),28889bc4,wait (command <*>,['4176)']
149,wait  (command 4176),28889bc4,wait (command <*>,['4176)']
150,bootGenvmunix  (command 4185),76727c51,bootGenvmunix (command <*>,['4185)']
151,boot  (command 4223),8d336518,boot (command <*>,['4223)']
152,wait  (command 4221),28889bc4,wait (command <*>,['4221)']
153,wait  (command 4219),28889bc4,wait (command <*>,['4219)']
154,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
155,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
156,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
157,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
158,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
159,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
160,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
161,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
162,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
163,Command has completed successfully,b09e9fef,Command has <*> <*>,['completed successfully']
164,Targeting domains:node-D3 and nodes:node-[104-127] child of command 1963,defee58d,Targeting <*> and <*> child of command <*>,"['domains:node-D3', 'nodes:node-[104-127]', '1963']"
165,Targeting domains:node-D4 and nodes:node-[136-159] child of command 1964,defee58d,Targeting <*> and <*> child of command <*>,"['domains:node-D4', 'nodes:node-[136-159]', '1964']"
166,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],2794dcdf,Targeting domains:node-D7 and nodes:node-[224\ 228\ 232],[]
167,Targeting domains:node-D4 and nodes:node-[128-135] child of command 2401,defee58d,Targeting <*> and <*> child of command <*>,"['domains:node-D4', 'nodes:node-[128-135]', '2401']"
168,Targeting domains:node-D0 and nodes:node-[8-31] child of command 2489,defee58d,Targeting <*> and <*> child of command <*>,"['domains:node-D0', 'nodes:node-[8-31]', '2489']"
169,Targeting domains:node-D0 and nodes:node-0,868b6038,Targeting <*> and <*>,"['domains:node-D0', 'nodes:node-0']"
170,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],f8d968b5,Targeting domains:node-D[0\ 5] and nodes:node-[27\ 191],[]
171,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,defee58d,Targeting <*> and <*> child of command <*>,"['domains:node-D2', 'nodes:node-[64-95]', '3488']"
172,Targeting domains:node-D2 and nodes:node-84,868b6038,Targeting <*> and <*>,"['domains:node-D2', 'nodes:node-84']"
173,psu failure\ ambient=28,78fe0fa3,psu failure\ ambient<*>,['=28']
174,psu failure\ ambient=28,78fe0fa3,psu failure\ ambient<*>,['=28']
175,psu failure\ ambient=28,78fe0fa3,psu failure\ ambient<*>,['=28']
176,psu failure\ ambient=28,78fe0fa3,psu failure\ ambient<*>,['=28']
177,psu failure\ ambient=31,78fe0fa3,psu failure\ ambient<*>,['=31']
178,Temperature (41C) exceeds warning threshold,3b219fff,Temperature (41C) exceeds warning threshold,[]
179,Temperature (41C) exceeds warning threshold,3b219fff,Temperature (41C) exceeds warning threshold,[]
