LineId,Content,EventId,EventTemplate,ParameterList
1,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
2,Thermal pressure state: 1 Memory pressure state: 0,b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,['1']
3,FA||Url||taskID[2019352994] dealloc,bf6f5aee,FA||Url||taskID[2019352994] dealloc,[]
4,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],8f8ef862,ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],['620701.011328:']
5,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],39189f14,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],['620702.879952:']
6,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),1e62c609,mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,['awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF)']
7,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",f713d2b6,"ARPT: <*> IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>","['620749.901374:', 'Yes,', '0,']"
8,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,"['620750.434035:', '3226706533,', '3871687177,']"
9,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,548a9986,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,['620752.337198:']
10,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,[]
11,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,[]
12,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,[]
