Content,EventTemplate,Variables
[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] VM Resumed (Lifecycle Event),workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
Creating event network-vif-plugged:906.0 B-aae8-4b03-97c9-a7bc9c5e4bb7 for instance faf974ea-cba5-4e1b-93f4-3a3bc606006f,mod_jk child workerEnv in error state <*>,['6']
"startSync hiSyncOption = HiSyncOption{syncAction=5018765878120211503, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 5018765878120211503 who = 5018765878120211503",jk2_init() Found child <*> in scoreboard slot <*>,"['6725', '10']"
"ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error",jk2_init() Found child <*> in scoreboard slot <*>,"['6726', '8']"
/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1::prePCIWake - power up complete - took 5 us,jk2_init() Found child <*> in scoreboard slot <*>,"['6728', '6']"
"initUserPrivacy the userPrivacy switch is open, start push user data!",workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
Package_for_KB3118401~31bf3856ad364e35~amd64~~6.1.1.1@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
"screen status unknown,think screen on",workerEnv.init() ok /etc/httpd/conf/workers2.properties,[]
"critical input interrupt (unit=1514042100000##7214##549659##8661##16256##30827730 bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",mod_jk child workerEnv in error state <*>,['6']
icache prefetch threshold................0,mod_jk child workerEnv in error state <*>,['6']
"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",mod_jk child workerEnv in error state <*>,['6']
checkInsertStatus stepSum or calorieSum is enough,jk2_init() Found child <*> in scoreboard slot <*>,"['6736', '10']"
"SQM: Queued 2600908 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 2600908x6",jk2_init() Found child <*> in scoreboard slot <*>,"['6733', '7']"
