Content,EventTemplate,Variables
IOThunderboltSwitch906.0 B(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 5018765878120211503 unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
Thermal pressure state: /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/96abccce-8d1f-4e07-b6d1-4b2ab87e23b4 HTTP/1.1 Memory pressure state: 0,Thermal pressure state: <*> Memory pressure state: 0,['1']
FA||Url||taskID[2019352994] dealloc,FA||Url||taskID[2019352994] dealloc,[]
ARPT: Package_for_KB3118401~31bf3856ad364e35~amd64~~6.1.1.1 AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],['620701.011328:']
ARPT: 1514042100000##7214##549659##8661##16256##30827730 AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],['620702.879952:']
mDNS_DeregisterInterface: Frequent transitions for interface 2600908,mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,['awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF)']
"ARPT: 116332728 IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': 0010512 'TimeRemaining': 5955377624764578810","ARPT: <*> IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>","['620749.901374:', 'Yes,', '0,']"
ARPT: 1514042880000##7214##549659##8661##16256##31588757 wl0: wl_update_tcpkeep_seq: Original Seq: -26568864070436835 Ack: broadcast_30_piece0 Win size: 4096,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,"['620750.434035:', '3226706533,', '3871687177,']"
ARPT: -3437475890798229344 ARPT: Wake Reason: Wake on Scan offload,ARPT: <*> ARPT: Wake Reason: Wake on Scan offload,['620752.337198:']
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,[]
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,[]
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,[]
"ARPT: 1514040956000 wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs",['620896.311264:']
AppleCamIn::systemWakeCall - messageType = Package_for_KB2809215~31bf3856ad364e35~amd64~~6.1.1.1,AppleCamIn::systemWakeCall - messageType = <*>,['0xE0000340']
setting hostname to a444c98d,setting hostname to <*>,"['""authorMacBook-Pro.local""']"
"startSync hiSyncOption = HiSyncOption{syncAction=2773421, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 2773421 who = 2773421","<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","['com.apple.icloud.fmfd.heartbeat', '439034']"
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,[]
-657087263710195616 <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,['[09:21:58.929]']
"ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error","<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.","['com.apple.Safari.SafeBrowsing.Update', '2450']"
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,[]
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,[]
IOThunderboltSwitch3542967(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = /var/lb/ova/instans/_base/a489868f0c37da93b76227c91bb03908ac0e742cecin unplug = 0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
"PM response took 1514044437000 ms (54, powerd)","PM response took <*> ms (54, powerd)",['2010']
