Content,EventTemplate,Variables
Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>),0
clusterAddMember  (command 1902),clusterAddMember  (command <*>),0
clusterAddMember  (command 1900),clusterAddMember  (command <*>),0
risBoot  (command 1903),risBoot  (command <*>),0
bootGenvmunix  (command 1903),bootGenvmunix  (command <*>),0
boot  (command 1911),boot  (command <*>),0
boot  (command 1910),boot  (command <*>),0
boot  (command 1978),boot  (command <*>),0
boot  (command 1967),boot  (command <*>),0
wait  (command 1975),wait  (command <*>),0
boot  (command 1999),boot  (command <*>),0
halt  (command 1982),halt  (command <*>),0
boot  (command 1981),boot  (command <*>),0
boot  (command 1973),boot  (command <*>),0
wait  (command 1973),wait  (command <*>),0
wait  (command 2057),wait  (command <*>),0
boot  (command 2152),boot  (command <*>),0
wait  (command 2154),wait  (command <*>),0
boot  (command 2141),boot  (command <*>),0
boot  (command 2110),boot  (command <*>),0
boot  (command 2160),boot  (command <*>),0
halt  (command 2221),halt  (command <*>),0
wait  (command 2217),wait  (command <*>),0
wait  (command 2217),wait  (command <*>),0
wait  (command 2201),wait  (command <*>),0
wait  (command 2199),wait  (command <*>),0
boot  (command 2183),boot  (command <*>),0
wait  (command 2189),wait  (command <*>),0
wait  (command 2302),wait  (command <*>),0
wait  (command 2270),wait  (command <*>),0
wait  (command 2257),wait  (command <*>),0
boot  (command 2257),boot  (command <*>),0
boot  (command 2316),boot  (command <*>),0
boot  (command 2316),boot  (command <*>),0
wait  (command 2322),wait  (command <*>),0
wait  (command 2354),wait  (command <*>),0
wait  (command 2347),wait  (command <*>),0
boot  (command 2368),boot  (command <*>),0
boot  (command 2392),boot  (command <*>),0
boot  (command 2406),boot  (command <*>),0
boot  (command 2417),boot  (command <*>),0
boot  (command 2423),boot  (command <*>),0
wait  (command 2424),wait  (command <*>),0
wait  (command 2449),wait  (command <*>),0
boot  (command 2464),boot  (command <*>),0
