LineId,Content,EventId,EventTemplate
1,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
2,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
3,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
4,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
5,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
6,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
7,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
8,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
9,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
10,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
11,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
12,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
13,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
14,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
15,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
16,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
17,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
18,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
19,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
20,jk2_init() Found child 6740 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
21,jk2_init() Found child 6737 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
22,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
23,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
24,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
25,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
26,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
27,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
28,jk2_init() Found child 6748 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
29,jk2_init() Found child 6744 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
30,jk2_init() Found child 6745 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
31,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
32,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
33,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
34,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
35,jk2_init() Found child 6750 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
36,jk2_init() Found child 6751 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
37,jk2_init() Found child 6752 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
38,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
39,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
40,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
41,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
42,jk2_init() Found child 6754 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
43,jk2_init() Found child 6755 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
44,jk2_init() Found child 6756 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
45,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
46,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
47,jk2_init() Found child 6763 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
48,jk2_init() Found child 6766 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
49,jk2_init() Found child 6767 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
50,jk2_init() Found child 6765 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
51,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
52,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
53,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
54,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
55,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
56,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
57,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
58,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
59,jk2_init() Found child 6768 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
60,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
61,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
62,jk2_init() Found child 8527 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
63,jk2_init() Found child 8533 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
64,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
65,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
66,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
67,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
68,jk2_init() Found child 8536 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
69,jk2_init() Found child 8539 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
70,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
71,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
72,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
73,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
74,jk2_init() Found child 8541 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
75,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
76,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
77,jk2_init() Found child 8547 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
78,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
79,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
80,jk2_init() Found child 8554 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
81,jk2_init() Found child 8553 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
82,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
83,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
84,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
85,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
86,jk2_init() Found child 8560 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
87,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
88,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
89,jk2_init() Found child 8565 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
90,jk2_init() Found child 8573 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>
91,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
92,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
93,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
94,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
