LineId,Content,EventId,EventTemplate
1,instruction cache parity error corrected,E77,instruction cache parity error corrected
2,instruction cache parity error corrected,E77,instruction cache parity error corrected
3,instruction cache parity error corrected,E77,instruction cache parity error corrected
4,instruction cache parity error corrected,E77,instruction cache parity error corrected
5,63543 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
6,162 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
7,141 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
8,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>"
9,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
10,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
11,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>"
12,generating core.2275,E67,generating core.<*>
13,generating core.862,E67,generating core.<*>
14,generating core.728,E67,generating core.<*>
15,generating core.775,E67,generating core.<*>
16,generating core.3276,E67,generating core.<*>
17,generating core.1717,E67,generating core.<*>
18,generating core.3919,E67,generating core.<*>
19,generating core.2079,E67,generating core.<*>
20,generating core.1414,E67,generating core.<*>
21,generating core.3055,E67,generating core.<*>
22,generating core.201,E67,generating core.<*>
23,generating core.1125,E67,generating core.<*>
24,generating core.412,E67,generating core.<*>
25,generating core.7828,E67,generating core.<*>
26,generating core.5570,E67,generating core.<*>
27,generating core.8275,E67,generating core.<*>
28,generating core.4183,E67,generating core.<*>
29,generating core.6545,E67,generating core.<*>
30,generating core.4245,E67,generating core.<*>
31,generating core.6884,E67,generating core.<*>
32,force load/store alignment...............0,E64,force load/store alignment...............<*>
33,generating core.6471,E67,generating core.<*>
34,generating core.4155,E67,generating core.<*>
35,generating core.449,E67,generating core.<*>
36,generating core.6990,E67,generating core.<*>
37,generating core.4876,E67,generating core.<*>
38,generating core.2218,E67,generating core.<*>
39,generating core.7518,E67,generating core.<*>
40,generating core.5854,E67,generating core.<*>
41,generating core.7457,E67,generating core.<*>
42,generating core.6896,E67,generating core.<*>
43,generating core.3488,E67,generating core.<*>
44,generating core.1172,E67,generating core.<*>
45,generating core.2286,E67,generating core.<*>
46,generating core.786,E67,generating core.<*>
47,generating core.2680,E67,generating core.<*>
48,generating core.1524,E67,generating core.<*>
49,generating core.4937,E67,generating core.<*>
50,generating core.6801,E67,generating core.<*>
51,generating core.4368,E67,generating core.<*>
52,generating core.851,E67,generating core.<*>
53,generating core.1744,E67,generating core.<*>
54,generating core.1588,E67,generating core.<*>
55,generating core.5307,E67,generating core.<*>
56,generating core.7192,E67,generating core.<*>
57,"CE sym 20, at 0x01228120, mask 0x10",E18,"CE sym <*>, at <*>, mask <*>"
58,"CE sym 5, at 0x11042a80, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>"
59,instruction cache parity error corrected,E77,instruction cache parity error corrected
60,instruction cache parity error corrected,E77,instruction cache parity error corrected
61,instruction cache parity error corrected,E77,instruction cache parity error corrected
62,instruction cache parity error corrected,E77,instruction cache parity error corrected
63,instruction cache parity error corrected,E77,instruction cache parity error corrected
64,instruction cache parity error corrected,E77,instruction cache parity error corrected
65,instruction cache parity error corrected,E77,instruction cache parity error corrected
66,instruction cache parity error corrected,E77,instruction cache parity error corrected
67,generating core.430,E67,generating core.<*>
68,generating core.174,E67,generating core.<*>
69,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
70,generating core.976,E67,generating core.<*>
71,generating core.1990,E67,generating core.<*>
72,generating core.3638,E67,generating core.<*>
73,generating core.2690,E67,generating core.<*>
74,generating core.3804,E67,generating core.<*>
75,generating core.418,E67,generating core.<*>
76,generating core.310,E67,generating core.<*>
77,generating core.2409,E67,generating core.<*>
78,generating core.4182,E67,generating core.<*>
79,generating core.8153,E67,generating core.<*>
80,generating core.7836,E67,generating core.<*>
81,generating core.2911,E67,generating core.<*>
82,generating core.2921,E67,generating core.<*>
83,generating core.122,E67,generating core.<*>
84,generating core.1973,E67,generating core.<*>
85,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,E37,ciod: LOGIN chdir(<*>) failed: No such file or directory
86,generating core.4984,E67,generating core.<*>
87,generating core.1822,E67,generating core.<*>
88,"CE sym 28, at 0x110067e0, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
89,"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
90,"CE sym 14, at 0x06047860, mask 0x20",E18,"CE sym <*>, at <*>, mask <*>"
91,generating core.3265,E67,generating core.<*>
92,generating core.2599,E67,generating core.<*>
93,generating core.1818,E67,generating core.<*>
94,generating core.1694,E67,generating core.<*>
95,generating core.3401,E67,generating core.<*>
96,generating core.25350,E67,generating core.<*>
97,generating core.1820,E67,generating core.<*>
98,"CE sym 2, at 0x1b85f080, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
99,generating core.254,E67,generating core.<*>
100,generating core.1887,E67,generating core.<*>
101,"CE sym 2, at 0x1b85fe80, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
102,generating core.8280,E67,generating core.<*>
103,generating core.12357,E67,generating core.<*>
104,data TLB error interrupt,E55,data TLB error interrupt
105,data TLB error interrupt,E55,data TLB error interrupt
106,data TLB error interrupt,E55,data TLB error interrupt
107,data TLB error interrupt,E55,data TLB error interrupt
108,data TLB error interrupt,E55,data TLB error interrupt
109,data TLB error interrupt,E55,data TLB error interrupt
110,data TLB error interrupt,E55,data TLB error interrupt
111,data TLB error interrupt,E55,data TLB error interrupt
112,data TLB error interrupt,E55,data TLB error interrupt
113,data TLB error interrupt,E55,data TLB error interrupt
114,data TLB error interrupt,E55,data TLB error interrupt
115,data TLB error interrupt,E55,data TLB error interrupt
116,data TLB error interrupt,E55,data TLB error interrupt
117,data TLB error interrupt,E55,data TLB error interrupt
118,data TLB error interrupt,E55,data TLB error interrupt
119,data TLB error interrupt,E55,data TLB error interrupt
120,data TLB error interrupt,E55,data TLB error interrupt
121,data TLB error interrupt,E55,data TLB error interrupt
122,data TLB error interrupt,E55,data TLB error interrupt
123,data TLB error interrupt,E55,data TLB error interrupt
124,data TLB error interrupt,E55,data TLB error interrupt
125,data TLB error interrupt,E55,data TLB error interrupt
126,data TLB error interrupt,E55,data TLB error interrupt
127,data TLB error interrupt,E55,data TLB error interrupt
128,data TLB error interrupt,E55,data TLB error interrupt
129,data TLB error interrupt,E55,data TLB error interrupt
130,data TLB error interrupt,E55,data TLB error interrupt
131,data TLB error interrupt,E55,data TLB error interrupt
