LineId,Content,EventId,EventTemplate,Dataset
1,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,Apache
2,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,Apache
3,jk2_init() Found child 6750 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
4,jk2_init() Found child 6751 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
5,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
6,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
7,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
8,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
9,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
10,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
11,jk2_init() Found child 8744 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
12,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,Apache
13,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
14,jk2_init() Found child 25805 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
15,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
16,jk2_init() Found child 32353 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
17,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
18,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
19,jk2_init() Found child 32410 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
20,jk2_init() Found child 32420 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
21,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
22,jk2_init() Found child 32432 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
23,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>,Apache
24,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
25,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
26,jk2_init() Found child 32449 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
27,jk2_init() Found child 32475 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
28,jk2_init() Found child 32478 in scoreboard slot 11,E1,jk2_init() Found child <*> in scoreboard slot <*>,Apache
29,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
30,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
31,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
32,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,Apache
33,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,Apache
