LineId,Content,EventId,EventTemplate
1,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
2,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
3,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
4,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
5,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
6,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
7,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
8,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
9,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
10,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
11,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
12,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>)
13,clusterAddMember  (command 1902),E8,clusterAddMember  (command <*>)
14,clusterAddMember  (command 1900),E8,clusterAddMember  (command <*>)
15,risBoot  (command 1903),E36,risBoot  (command <*>)
16,bootGenvmunix  (command 1903),E6,bootGenvmunix  (command <*>)
17,boot  (command 1911),E4,boot  (command <*>)
18,boot  (command 1910),E4,boot  (command <*>)
19,boot  (command 1978),E4,boot  (command <*>)
20,boot  (command 1967),E4,boot  (command <*>)
21,wait  (command 1975),E45,wait  (command <*>)
22,boot  (command 1999),E4,boot  (command <*>)
23,halt  (command 1982),E19,halt  (command <*>)
24,boot  (command 1981),E4,boot  (command <*>)
25,boot  (command 1973),E4,boot  (command <*>)
26,wait  (command 1973),E45,wait  (command <*>)
27,wait  (command 2057),E45,wait  (command <*>)
28,boot  (command 2152),E4,boot  (command <*>)
29,wait  (command 2154),E45,wait  (command <*>)
30,boot  (command 2141),E4,boot  (command <*>)
31,boot  (command 2110),E4,boot  (command <*>)
32,boot  (command 2160),E4,boot  (command <*>)
33,halt  (command 2221),E19,halt  (command <*>)
34,wait  (command 2217),E45,wait  (command <*>)
35,wait  (command 2217),E45,wait  (command <*>)
36,wait  (command 2201),E45,wait  (command <*>)
37,wait  (command 2199),E45,wait  (command <*>)
38,boot  (command 2183),E4,boot  (command <*>)
39,wait  (command 2189),E45,wait  (command <*>)
40,wait  (command 2302),E45,wait  (command <*>)
41,wait  (command 2270),E45,wait  (command <*>)
42,wait  (command 2257),E45,wait  (command <*>)
43,boot  (command 2257),E4,boot  (command <*>)
44,boot  (command 2316),E4,boot  (command <*>)
45,boot  (command 2316),E4,boot  (command <*>)
46,wait  (command 2322),E45,wait  (command <*>)
47,wait  (command 2354),E45,wait  (command <*>)
48,wait  (command 2347),E45,wait  (command <*>)
49,boot  (command 2368),E4,boot  (command <*>)
50,boot  (command 2392),E4,boot  (command <*>)
51,boot  (command 2406),E4,boot  (command <*>)
52,boot  (command 2417),E4,boot  (command <*>)
53,boot  (command 2423),E4,boot  (command <*>)
54,wait  (command 2424),E45,wait  (command <*>)
55,wait  (command 2449),E45,wait  (command <*>)
56,boot  (command 2464),E4,boot  (command <*>)
57,wait  (command 2468),E45,wait  (command <*>)
