Content,EventTemplate,Variables
Starting TrustedInstaller initialization.,Starting TrustedInstaller initialization.,-
"CCFile::copyFile fileName is [2017-07-08_05,55,23.694116]-io80211Family-002.pcapng, source path:/var/log/CoreCapture/com.apple.iokit.IO80211Family/IO80211AWDLPeerManager//[2017-07-08_05,55,23.694116]-io80211Family-002.pcapng, dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-08_05,56,40.163377]=AssocFail:sts:2_rsn:0/IO80211AWDLPeerManager//[2017-07-08_05,55,23.694116]-io80211Family-002.pcapng","CCFile::copyFile fileName is [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, source path:<*>, dest path:<*>","[2017,07,08,05,55,23,694116,io80211Family-002.pcapng,/var/log/CoreCapture/com.apple.iokit.IO80211Family/IO80211AWDLPeerManager//[2017-07-08_05,55,23.694116]-io80211Family-002.pcapng,/Library/Logs/CrashReporter/CoreCapture/com.apple.iokit.IO80211Family/[2017-07-08_05,56,40.163377]=AssocFail:sts:2_rsn:0/IO80211AWDLPeerManager//[2017-07-08_05,55,23.694116]-io80211Family-002.pcapng]"
"timeStamp back,extendReportTimeStamp=1514042265000","timeStamp back,extendReportTimeStamp=<*>",1514042265000
16 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,"[16,2,0x019a]"
2017-07-04 09:42:58.121 ksfetch[34604/0x7fff79824000] [lvl=2] main() ksfetch done fetching.,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch done fetching.,"[2017,07,04,09,42,58,121,34604,0x7fff79824000,2]"
insertHiHealthData() end totalTime = 94,insertHiHealthData() end totalTime = <*>,94
hibernate_teardown_pmap_structs done: last_valid_compact_indx 315096,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,315096
"bulkSaveDetailHiHealthData() size = 20,totalTime = 34","bulkSaveDetailHiHealthData() size = <*>,totalTime = <*>","[20,34]"
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: NO,<IMMacNotificationCenterManager: <*>>:   DND Enabled: NO,0x7ff1b2e00ba0
did discard act 12083 inact 17640 purgeable 20264 spec 28635 cleaned 0,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,"[12083,17640,20264,28635,0]"
26741629 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 268 seconds,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,"[26741629,0x02f9,268]"
"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0","stepSyncOrNot appSynTimes is <*>, statsyncTimes is <*>","[0,0]"
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",-
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] memory limit: 96258.00 MB, free: 95746.00 MB","[instance: <*>] memory limit: <*>.<*> MB, free: <*>.<*> MB","[faf974ea-cba5-4e1b-93f4-3a3bc606006f,96258,00,95746,00]"
00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,<*>@<*>/<*>/<*>:<*>:<*>:<*>.<*> PopulateComponentFamiliesKey - End,"[00000009,2016,9,28,16,01,03,072]"
"upLoadOneMinuteDataToEngine time=25233979,0,46,0,20002","upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>","[25233979,0,46,0,20002]"
critical input interrupt enable...0,critical input interrupt enable...<*>,0
Starting executor ID 5 on host mesos-slave-07,Starting executor ID <*> on host <*>,"[5,mesos-slave-07]"
[16:57:09.235] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,[<*>:<*>:<*>.<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,"[16,57,09,235]"
Captive: CNPluginHandler en0: Inactive,Captive: CNPluginHandler en0: Inactive,-
10.250.15.198:50010 Starting thread to transfer block blk_4292382298896622412 to 10.250.15.240:50010,<*>:<*> Starting thread to transfer block blk_<*> to <*>:<*>,"[10.250.15.198,50010,4292382298896622412,10.250.15.240,50010]"
"arp_client_transmit(en0) failed, Network is down (50)","arp_client_transmit(<*>) failed, Network is down (<*>)","[en0,50]"
08:21:18.004 : Discoverable mode changed to Off,<*>:<*>:<*>.<*> : Discoverable mode changed to Off,"[08,21,18,004]"
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,0
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,40984
"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}","SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",1035
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,"[0,51,4294967295]"
TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,-
instruction address space.........0,instruction address space.........<*>,0
"[QL] No sandbox token for request <QLThumbnailRequest vmware-usbarb-25037.log>, it will probably fail","[QL] No sandbox token for request <QLThumbnailRequest vmware-usbarb-<*>.log>, it will probably fail",25037
"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT","insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = <*>,errorMessage = ERR_DATA_INSERT",4
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],0x800f0805
Captive: CNPluginHandler en0: Evaluating,Captive: CNPluginHandler en0: Evaluating,-
vm_compressor_fastwake_warmup (581519 - 591525) - starting,vm_compressor_fastwake_warmup (<*> - <*>) - starting,"[581519,591525]"
"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage","image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage","[0673dd71-34c5-4fbb-86c4-40623fbe45b4,/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,1,0]"
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,"[0,438,0xffffffff]"
[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 1.02 seconds to destroy the instance on the hypervisor.,[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.,"[c62f4f25-982c-4ea2-b5e4-93000edfcfbf,1,02]"
[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,-
"ciod: Received signal 15, code=0, errno=0, address=0x000001f2","ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>","[15,0,0,0x000001f2]"
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,1
com.apple.Addres(38210) deny network-outbound /private/var/run/mDNSResponder,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder,"[com.apple.Addres,38210]"
Cocoa scripting error for '0x02cb000d': four character codes must be four characters long.,Cocoa scripting error for '<*>': four character codes must be four characters long.,0x02cb000d
CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,-
onReceive action: android.intent.action.SCREEN_OFF,onReceive action: android.intent.action.SCREEN_OFF,-
byte ordering exception.....................0,byte ordering exception.....................<*>,0
Successfully started service 'sparkExecutorActorSystem' on port 55904.,Successfully started service 'sparkExecutorActorSystem' on port <*>.,55904
hibernate_teardown completed - discarded 93932,hibernate_teardown completed - discarded <*>,93932
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,"[172.16.96.116,51706]"
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,0
wait state enable.................0,wait state enable.................<*>,0
Lustre mount FAILED : bglio617 : block_id : location,Lustre mount FAILED : bglio<*> : block_id : location,617
[12:22:42.202] itemasync_SetProperty signalled err=-12785 (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line 2306,[<*>:<*>:<*>.<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,"[12,22,42,202,-12785,/Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c,2306]"
"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total vcpu: 16 VCPU, used: 0.00 VCPU","[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU","[faf974ea-cba5-4e1b-93f4-3a3bc606006f,16,0,00]"
ARPT: 770786.961436: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,ARPT: <*>.<*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>,"[770786,961436,0xfc0,0x0,0xffff,0x0,0x0]"
[HID] [MT] AppleMultitouchDevice::willTerminate entered,[HID] [MT] AppleMultitouchDevice::willTerminate entered,-
