Content,EventTemplate,Variables
Thermal pressure state: 2611633272811633272891163327288 Memory pressure state: 116332728,Thermal pressure state: <*> Memory pressure state: <*>,"[1,0]"
FA||Url||taskID[0010512] dealloc,FA||Url||taskID[<*>] dealloc,2019352994
ARPT: 5955377624764578810.1514042880000##7214##549659##8661##16256##31588757: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled],"[620701,011328,Bm43xxcr]"
ARPT: broadcast_30_piece0.-3437475890798229344: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable],"[620702,879952,Bc43xxrm]"
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (Package_for_KB2809215~31bf3856ad364e35~amd64~~6.1.1.1),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF
"ARPT: a444c98d.2773421: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': -657087263710195616,","ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,","[620749,901374,0]"
"ARPT: 3542967./var/lb/ova/instans/_base/a489868f0c37da93b76227c91bb03908ac0e742cecin: wl0: wl_update_tcpkeep_seq: Original Seq: 1514044437000, Ack: 0x7fe133460660, Win size: -6956067134432991406","ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>","[620750,434035,3226706533,3871687177,4096]"
ARPT: 1514038440000##7023##548365##8661##13786##27182973.1514038500000##7054##548551##8661##16256##27205469: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload,"[620752,337198]"
__3549917-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value -5014786445735476734,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,"[73,2]"
com.apple.WebKit::setAwdlAutoMode Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL,IO80211AWDLPeerManager
__10.mnt/hadoop/dfs/data/current/subdir14.1.37-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value mnt/hadoop/dfs/data/current/subdir14,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,"[73,2]"
"ARPT: Package_for_KB27-15331913866000799913919375219~31bf3856ad364e35~amd64~~6.1.2.-1533191386600079991391937.27393971: wl-1533191386600079991391937: MDNS: -1533191386600079991391937 SRV Recs, -1533191386600079991391937 TXT Recs","ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs","[620896,311264,0,0]"
AppleCamIn::systemWakeCall - messageType = 0x80004005,AppleCamIn::systemWakeCall - messageType = <*>,0xE0000340
"setting hostname to ""2812061""","setting hostname to ""<*>""",authorMacBook-Pro.local
ciod: Error creating node map from file 0926709: No child processes,ciod: Error creating node map from file <*>: No child processes,/p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map
