Content,EventTemplate,EventId,Source
jk2_init() Can't find child 5622 in scoreboard,jk2_init() Can't find child <*> in scoreboard,E5,Apache
[client 61.220.139.68] Directory index forbidden by rule: /var/www/html/,[client <*>] Directory index forbidden by rule: <*>,E4,Apache
instruction cache parity error corrected,instruction cache parity error corrected,E77,BGL
force load/store alignment...............0,force load/store alignment...............<*>,E64,BGL
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,E19,BGL
ciod: Message code 0 is not 51 or 4294967295,ciod: Message code <*> is not <*> or <*>,E38,BGL
machine check: i-fetch......................0,machine check: i-fetch......................<*>,E84,BGL
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,E53,BGL
program interrupt: privileged instruction...0,program interrupt: privileged instruction...<*>,E103,BGL
program interrupt: trap instruction.........0,program interrupt: trap instruction.........<*>,E104,BGL
program interrupt: imprecise exception......0,program interrupt: imprecise exception......<*>,E102,BGL
store operation.............................1,store operation.............................<*>,E116,BGL
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,E54,BGL
"problem state (0=sup,1=usr).......0","problem state (<*>=sup,<*>=usr).......<*>",E97,BGL
floating point instr. enabled.....1,floating point instr. enabled.....<*>,E62,BGL
auxiliary processor.........................0,auxiliary processor.........................<*>,E15,BGL
machine check enable..............0,machine check enable..............<*>,E83,BGL
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,E105,BGL
debug interrupt enable............0,debug interrupt enable............<*>,E57,BGL
floating pt ex mode 1 enable......0,floating pt ex mode <*> enable......<*>,E63,BGL
byte ordering exception.....................0,byte ordering exception.....................<*>,E16,BGL
data address space................0,data address space................<*>,E49,BGL
program interrupt: fp cr update.............0,program interrupt: fp cr update.............<*>,E100,BGL
guaranteed instruction cache block touch.0,guaranteed instruction cache block touch.<*>,E69,BGL
program interrupt: fp cr field .............0,program interrupt: fp cr field .............<*>,E99,BGL
guaranteed data cache block touch........1,guaranteed data cache block touch........<*>,E68,BGL
icache prefetch depth....................0,icache prefetch depth....................<*>,E71,BGL
icache prefetch threshold................0,icache prefetch threshold................<*>,E72,BGL
wait state enable.................0,wait state enable.................<*>,E120,BGL
critical input interrupt enable...0,critical input interrupt enable...<*>,E48,BGL
debug wait enable.................0,debug wait enable.................<*>,E58,BGL
instruction address space.........0,instruction address space.........<*>,E75,BGL
disable store gathering..................0,disable store gathering..................<*>,E59,BGL
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,E33,BGL
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,ciod: Error creating node map from file <*>: No child processes,E23,BGL
program interrupt: illegal instruction......1,program interrupt: illegal instruction......<*>,E101,BGL
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,ciod: Error creating node map from file <*>: Bad file descriptor,E21,BGL
Can not get assembly information for node card,Can not get assembly information for node card,E17,BGL
ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /<*>,E20,BGL
ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,ciod: Error creating node map from file <*>: Block device required,E22,BGL
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,ciod: Error creating node map from file <*>: Permission denied,E24,BGL
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /<*>,E42,BGL
"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015","rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",E112,BGL
"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.","Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.",E91,BGL
New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,E88,BGL
"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E74,BGL
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK.,E92,BGL
"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310","PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",E96,BGL
rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,rts tree/torus link training failed: wanted: <*> got: <*>,E109,BGL
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/mapfiles/bgl.128mps.f64.map,ciod: Missing or invalid fields on line <*> of node map file /<*>,E39,BGL
rts: kernel terminated for reason 1004,rts: kernel terminated for reason <*>,E111,BGL
"NFS Mount failed on bglio91, slept 15 seconds, retrying (1)","NFS Mount failed on bglio<*>, slept <*> seconds, retrying (<*>)",E89,BGL
1 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,E8,BGL
ciod: pollControlDescriptors: Detected the debugger died.,ciod: pollControlDescriptors: Detected the debugger died.,E40,BGL
"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)","ciod: In packet from node <*>.<*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",E35,BGL
1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,E9,BGL
suppressing further interrupts of same type,suppressing further interrupts of same type,E117,BGL
Lustre mount FAILED : bglio388 : point /p/gb1,Lustre mount FAILED : bglio<*> : point <*>,E81,BGL
Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,E73,BGL
rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,E110,BGL
critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire,E44,BGL
total of 12 ddr error(s) detected and corrected,total of <*> ddr error(s) detected and corrected,E118,BGL
ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:47696: Link has been severed,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,E29,BGL
data cache search parity error detected. attempting to correct,data cache search parity error detected. attempting to correct,E51,BGL
"ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error","ciod: Error loading /<*>: invalid or missing program image, Exec format error",E25,BGL
critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire,E45,BGL
16 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,E13,BGL
5 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,E10,BGL
3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,E5,BGL
"1 ddr errors(s) detected and corrected on rank 0, symbol 8, bit 7","<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",E2,BGL
"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type","critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",E46,BGL
"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007","Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",E60,BGL
26741629 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 268 seconds,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,E11,BGL
MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),E82,BGL
"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41060, Connection timed out","ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out",E31,BGL
"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41587, Connection reset by peer","ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer",E30,BGL
"ciod: Received signal 15, code=0, errno=0, address=0x000001f2","ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",E41,BGL
